survey version standard standard_catagory shift CFA4P2-B CFA4P2-V CFA4P2-r CFA4P2-i 
CFA4P2 CFA4P2 spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 0 5.177792181045525 5.251215815549686 5.428960290997646 5.687905474057972
CFA4P2 CFA4P2 spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 0 4.345381271510014 3.309240512662954 2.9495544536499265 2.666388973597668
CFA4P2 CFA4P2 spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 0 8.636693151349508 8.268626677422695 8.201414775492449 8.20289060046378
CFA4P2 CFA4P2 spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 0 8.33690765763032 8.066141991595622 8.064758840599435 8.109171742910233
CFA4P2 CFA4P2 spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 0 5.614715018455534 4.720500727063947 4.394015199134006 4.146485008322957
CFA4P2 CFA4P2 spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 0 5.843252440552085 5.781564896343782 5.903709229530828 6.118449996398512
CFA4P2 CFA4P2 spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 0 9.527303566730964 9.058954066920109 8.899410097775728 8.76008624567429
CFA4P2 CFA4P2 spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 0 9.25056498295627 8.746047635111651 8.592456420209462 8.465989614557609
CFA4P2 CFA4P2 spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 0 7.9104729260973485 7.537637136441334 7.460917851469499 7.412204406109504
CFA4P2 CFA4P2 spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 0 3.4784641627804866 3.4801479205716115 3.60358258380987 3.8007426773491755
CFA4P2 CFA4P2 spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 0 6.948890734191224 5.926661220741047 5.54030145291465 5.229500923858888
CFA4P2 CFA4P2 spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 0 9.52418898859543 8.880375014366521 8.652901715175592 8.446693362521591
CFA4P2 CFA4P2 spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 0 9.237469607713567 7.699610425799443 6.30614022805054 3.778923954848631
CFA4P2 CFA4P2 spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 0 5.956832735855972 4.747178797348217 4.250571038951899 3.8090758338930133
CFA4P2 CFA4P2 spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 0 7.19914471464795 6.3380951692885725 6.03295324580619 5.782679834140188
CFA4P2 CFA4P2 spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 0 8.662750197670835 7.973857971336792 7.72003312105912 7.475974050931248
CFA4P2 CFA4P2 spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 0 3.636124658679286 3.7594746734726643 3.9666129498113483 4.270881965782541
CFA4P2 CFA4P2 spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 0 7.182326097899619 6.126595413473901 5.718704899713191 5.398385813073906
CFA4P2 CFA4P2 spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 0 6.078757846343539 5.528581282736835 5.373341668626298 5.282142408055956
