survey,KAIT4-B,KAIT4-V,KAIT4-R,KAIT4-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,KAIT4-B_AV,KAIT4-V_AV,KAIT4-R_AV,KAIT4-I_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
KAIT4,15.9782,15.2922,14.8154,14.3123,15.5344,14.963,14.7445,14.6393,182.047,65.1636,0.06638782051282052,0.05241625,0.04103098591549296,0.029197740112994353,0.0598,0.0425774647887324,0.031610169491525425,0.025201970443349753
KAIT4,17.8304,16.8115,16.112,15.3558,17.2394,16.3007,15.8329,15.5717,85.441,18.5344,1.4720544871794872,1.1596037499999998,0.9140563380281691,0.6420094161958569,1.3348,0.9501408450704226,0.7031242937853107,0.5582463054187192
KAIT4,16.2468,15.4917,14.969,14.4337,15.7744,15.1327,14.8677,14.7702,295.888,56.0888,0.4352820512820513,0.34291375,0.2702169014084507,0.1895160075329567,0.3946,0.2810422535211268,0.20801129943502825,0.16541379310344828
KAIT4,16.6494,15.8378,15.2774,14.7032,16.2007,15.4232,15.1507,15.0247,295.909,56.1053,0.4362820512820513,0.34391375,0.27087323943661973,0.19045009416195857,0.3956,0.28118309859154933,0.2081412429378531,0.16541379310344828
KAIT4,18.5976,17.9871,17.5602,17.1155,18.2292,17.733,17.5507,17.5042,37.9598,1.23075,0.08386538461538462,0.06593125,0.05237464788732395,0.03632956685499058,0.076,0.05443661971830987,0.04035028248587571,0.031802955665024626
KAIT4,17.0933,16.2452,15.6604,15.0912,16.5235,15.7997,15.5856,15.4187,148.942,69.7005,0.5465801282051282,0.43048875,0.3389352112676057,0.23791148775894538,0.4956,0.3523380281690141,0.2612316384180791,0.20751724137931035
KAIT4,17.2631,16.5198,16.0049,15.4854,16.8002,16.1592,15.9273,15.8412,20.1959,4.79107,0.09782051282051282,0.07718875,0.06071830985915493,0.042329566854990584,0.0886,0.06329577464788734,0.04635028248587571,0.03710344827586207
KAIT4,16.1444,15.382,14.8544,14.3097,15.6793,15.0143,14.7546,14.6555,241.413,17.6079,0.15125320512820511,0.11947625,0.0937492957746479,0.06552730696798494,0.1376,0.09787323943661974,0.07196045197740113,0.05770443349753695
KAIT4,16.986,16.2573,15.752,15.2357,16.5231,15.9148,15.6791,15.5816,17.7406,15.4791,0.28202884615384616,0.22230875,0.1748112676056338,0.12292278719397363,0.2552,0.18202816901408453,0.134180790960452,0.10640886699507389
KAIT4,18.0659,17.3436,16.8425,16.2863,17.6084,16.988,16.7019,16.5733,17.6925,15.4499,0.30598397435897434,0.24095250000000001,0.18981126760563383,0.13305461393596987,0.2772,0.19702816901408454,0.14592090395480226,0.11600985221674877
KAIT4,16.6921,15.9488,15.4339,14.9095,16.2311,15.5874,15.3552,15.2551,359.184,5.47759,0.18668589743589745,0.14724874999999998,0.11609295774647888,0.08159322033898306,0.1694,0.1207323943661972,0.08883050847457627,0.07060591133004926
KAIT4,17.7902,16.9996,16.4531,15.9042,17.3006,16.6193,16.3582,16.2442,359.218,5.53297,0.19516346153846154,0.15350624999999998,0.12109295774647888,0.08465913370998117,0.177,0.1257323943661972,0.09270056497175141,0.07390640394088671
KAIT4,17.7286,17.0872,16.6398,16.17,17.3,16.803,16.609,16.5205,359.198,5.54368,0.19168589743589745,0.1503775,0.11909295774647888,0.08365913370998117,0.1732,0.12373239436619721,0.09170056497175141,0.07260591133004926
KAIT4,17.6047,16.8232,16.2828,15.7682,17.1215,16.4474,16.2144,16.1315,280.022,40.0852,0.21564102564102564,0.17002125,0.13443661971830986,0.0937909604519774,0.19619999999999999,0.13959154929577466,0.1034406779661017,0.08220689655172414
KAIT4,17.7446,17.0805,16.6181,16.1227,17.3076,16.7708,16.5626,16.491,280.078,40.1205,0.21764102564102564,0.17102125,0.13478028169014086,0.09472504708097929,0.1972,0.14045070422535214,0.10357062146892655,0.08220689655172414
KAIT4,17.8816,17.203,16.731,16.2541,17.4503,16.891,16.6898,16.6274,279.993,40.0915,0.21216346153846152,0.1668925,0.1314366197183099,0.09272504708097928,0.19240000000000002,0.1365915492957747,0.10157062146892655,0.08020689655172414
KAIT4,17.239,16.4283,15.8685,15.3052,16.7377,16.0234,15.7531,15.635,290.681,43.9203,0.3823717948717949,0.300755,0.23718591549295776,0.16631826741996233,0.3464,0.2464647887323944,0.18240112994350283,0.14521182266009852
KAIT4,16.4824,15.8455,15.4012,14.9129,16.0718,15.551,15.3339,15.2714,247.467,40.7939,0.0224775641025641,0.017515000000000003,0.014343661971830986,0.010065913370998117,0.020200000000000003,0.014859154929577467,0.01087005649717514,0.00830049261083744
KAIT4,18.2438,17.5751,17.1097,16.6229,17.8221,17.2698,17.0579,16.9804,247.435,40.7745,0.020955128205128206,0.016515000000000002,0.013343661971830987,0.009065913370998116,0.019200000000000002,0.013859154929577467,0.009870056497175142,0.007600985221674877
KAIT4,16.9091,16.3059,15.8837,15.4436,16.5143,16.0397,15.8713,15.8325,170.379,34.3679,0.07986538461538462,0.0628025,0.049374647887323944,0.03426365348399247,0.0722,0.051436619718309866,0.037480225988700565,0.030502463054187193
KAIT4,16.6152,15.9519,15.4902,14.9446,16.1895,15.6369,15.3641,15.2481,263.139,7.04799,0.43228205128205127,0.340785,0.2682169014084507,0.18845009416195857,0.3918,0.27904225352112677,0.2061412429378531,0.16411330049261083
KAIT4,17.7854,17.0722,16.5773,16.1016,17.2681,16.6452,16.4731,16.436,171.262,-9.82007,0.14377564102564103,0.1133475,0.08940563380281691,0.06252730696798493,0.1308,0.09301408450704227,0.06896045197740114,0.054704433497536946
KAIT4,16.6025,15.9365,15.4729,14.9853,16.175,15.629,15.4068,15.3372,36.3798,41.8096,0.20116346153846154,0.15850625,0.12443661971830987,0.08765913370998116,0.182,0.12959154929577468,0.09570056497175142,0.0759064039408867
KAIT4,17.2749,16.5526,16.0515,15.5081,16.8275,16.2149,15.949,15.834,52.4816,0.0955631,0.3733717948717949,0.29449749999999997,0.23184225352112678,0.1632523540489642,0.3388,0.24060563380281694,0.17853107344632768,0.1419113300492611
KAIT4,17.5326,16.8912,16.4438,15.9306,17.1263,16.5865,16.3602,16.2649,52.4596,0.0278806,0.3673717948717949,0.28936875,0.22784225352112678,0.1602523540489642,0.33299999999999996,0.23660563380281693,0.17553107344632768,0.13921182266009852
KAIT4,18.1285,17.4398,16.9612,16.4106,17.6901,17.1295,16.8572,16.7248,27.9228,19.1413,0.23959615384615385,0.18853625,0.14878028169014085,0.1047909604519774,0.2174,0.15445070422535215,0.1144406779661017,0.090807881773399
KAIT4,18.8641,18.2526,17.8251,17.3232,18.472,17.9674,17.7566,17.6817,27.9079,19.0635,0.22411858974358975,0.17615,0.13878028169014087,0.09779096045197741,0.20299999999999999,0.14445070422535214,0.1074406779661017,0.08520689655172414
KAIT4,17.5941,16.7934,16.2403,15.6729,17.1053,16.4008,16.1182,16.0028,38.1378,35.4441,0.24659615384615385,0.19453625,0.15312394366197185,0.1077909604519774,0.22340000000000002,0.1593098591549296,0.11744067796610169,0.09380788177339901
KAIT4,18.2104,17.5508,17.0914,16.6329,17.7787,17.2674,17.077,17.002,162.835,8.56445,0.08534294871794872,0.06693125,0.05337464788732395,0.037263653483992465,0.077,0.05543661971830987,0.04048022598870057,0.03250246305418719
KAIT4,17.8373,17.0813,16.5579,16.0177,17.3816,16.7249,16.457,16.3554,55.5779,-4.68826,0.20416346153846154,0.160635,0.12643661971830988,0.08872504708097928,0.1848,0.13159154929577468,0.09757062146892656,0.07720689655172414
KAIT4,17.3372,16.5793,16.0547,15.539,16.8715,16.2126,15.9797,15.8784,7.47606,31.3601,0.23711858974358974,0.1864075,0.14678028169014085,0.10285687382297551,0.2146,0.15245070422535215,0.11331073446327684,0.08980788177339902
KAIT4,16.7914,16.0618,15.556,15.005,16.3279,15.7032,15.4536,15.3387,177.735,-28.7477,0.30098397435897434,0.23682375,0.18681126760563382,0.13105461393596987,0.2724,0.19402816901408454,0.14392090395480225,0.11400985221674877
KAIT4,17.8046,16.9967,16.4387,15.8756,17.3099,16.603,16.3283,16.2077,36.3925,24.7273,0.38784935897435896,0.305755,0.24052957746478876,0.16931826741996234,0.3514,0.25032394366197186,0.18540112994350283,0.14751231527093597
