survey version standard standard_catagory shift SDSS-G SDSS-R SDSS-I SDSS-Z SDSS-g SDSS-r SDSS-i SDSS-z 
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 30 5.0735 5.4075 5.6783 5.8782 5.0789 5.4075 5.6783 5.8782
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 30 3.8997 2.9657 2.6963 2.5541 3.8661 2.9657 2.6963 2.5541
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 30 8.413 8.1941 8.2122 8.2684 8.4029 8.1941 8.2122 8.2684
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 30 8.1367 8.0562 8.1152 8.1897 8.1295 8.0562 8.1152 8.1897
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 30 5.2245 4.4054 4.1744 4.0521 5.1956 4.4054 4.1744 4.0521
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 30 5.703 5.8844 6.112 6.2463 5.7032 5.8844 6.112 6.2463
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 30 9.2795 8.903 8.7808 8.7058 9.2673 8.903 8.7808 8.7058
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 30 8.9849 8.5946 8.485 8.4608 8.9703 8.5946 8.485 8.4608
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 30 7.6839 7.4581 7.4254 7.4387 7.6739 7.4581 7.4254 7.4387
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 30 3.3577 3.5855 3.7965 3.8873 3.361 3.5855 3.7965 3.8873
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 30 6.5195 5.5572 5.2625 5.0862 6.4857 5.5572 5.2625 5.0862
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 30 9.2152 8.6614 8.4722 8.3864 9.1956 8.6614 8.4722 8.3864
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 30 8.6946 6.5877 4.0106 2.246 8.6402 6.5877 4.0106 2.246
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 30 5.4741 4.2794 3.8521 3.597 5.4345 4.2794 3.8521 3.597
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 30 6.8153 6.045 5.8112 5.6841 6.7875 6.045 5.8112 5.6841
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 30 8.3396 7.732 7.5047 7.3873 8.319 7.732 7.5047 7.3873
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 30 3.5442 3.9425 4.2575 4.5071 3.5513 3.9425 4.2575 4.5071
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 30 6.7484 5.7359 5.4328 5.2385 6.713 5.7359 5.4328 5.2385
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 30 5.7963 5.3729 5.2987 5.2987 5.7794 5.3729 5.2987 5.2987
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 30 5.3708 5.3496 5.4475 5.5465 5.3656 5.3496 5.4475 5.5465
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 30 8.8928 8.203 7.9653 7.8527 8.8693 8.203 7.9653 7.8527
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 30 5.5928 5.8398 6.0498 6.2048 5.5962 5.8398 6.0498 6.2048
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 30 12.3449 12.0409 11.9863 12.0246 12.3342 12.0409 11.9863 12.0246
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 30 5.3649 5.0531 5.0025 5.0262 5.3521 5.0531 5.0025 5.0262
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 30 5.5518 5.866 6.1486 6.3456 5.5567 5.866 6.1486 6.3456
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 30 6.7138 6.8348 6.9858 7.057 6.7137 6.8348 6.9858 7.057
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 30 6.4722 5.2023 4.7652 4.4898 6.4294 5.2023 4.7652 4.4898
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 30 4.1911 4.332 4.5119 4.6788 4.1932 4.332 4.5119 4.6788
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 30 4.4953 4.1511 4.0692 4.0579 4.4811 4.1511 4.0692 4.0579
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 30 3.7336 4.0218 4.2751 4.4637 3.7372 4.0218 4.2751 4.4637
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g18-39_v2.fits stis_ngsl_v2 30 10.5725 10.2632 10.1626 10.1559 10.5613 10.2632 10.1626 10.1559
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g12-21_v2.fits stis_ngsl_v2 30 10.3958 10.0777 10.0115 10.0326 10.3841 10.0777 10.0115 10.0326
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd025893_v2.fits stis_ngsl_v2 30 7.5836 6.9602 6.7986 6.7504 7.5617 6.9602 6.7986 6.7504
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd132345_v2.fits stis_ngsl_v2 30 6.4762 5.4783 5.1818 4.9791 6.4407 5.4783 5.1818 4.9791
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd091316_v2.fits stis_ngsl_v2 30 3.637 3.9932 4.2758 4.5335 3.6437 3.9932 4.2758 4.5335
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd117880_v2.fits stis_ngsl_v2 30 8.9994 9.1642 9.3507 9.4488 8.9998 9.1642 9.3507 9.4488
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_cd-621346_v2.fits stis_ngsl_v2 30 10.1328 9.6292 9.4714 9.3924 10.1147 9.6292 9.4714 9.3924
