survey version standard standard_catagory shift SDSS-G SDSS-R SDSS-I SDSS-Z SDSS-g SDSS-r SDSS-i SDSS-z 
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 20 5.0718 5.4051 5.6764 5.8775 5.077 5.4051 5.6764 5.8775
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 20 3.9112 2.9691 2.6974 2.5553 3.8772 2.9691 2.6974 2.5553
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 20 8.4165 8.1943 8.2119 8.2681 8.4062 8.1943 8.2119 8.2681
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 20 8.1393 8.0559 8.1146 8.1894 8.1319 8.0559 8.1146 8.1894
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 20 5.2344 4.4084 4.1754 4.0531 5.2051 4.4084 4.1754 4.0531
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 20 5.703 5.8825 6.1103 6.2463 5.7031 5.8825 6.1103 6.2463
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 20 9.2837 8.9044 8.7813 8.7064 9.2713 8.9044 8.7813 8.7064
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 20 8.99 8.5959 8.4855 8.4609 8.9751 8.5959 8.4855 8.4609
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 20 7.6874 7.4587 7.4253 7.4388 7.6771 7.4587 7.4253 7.4388
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 20 3.3566 3.5838 3.7949 3.8874 3.3599 3.5838 3.7949 3.8874
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 20 6.531 5.5608 5.2639 5.0876 6.4969 5.5608 5.2639 5.0876
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 20 9.2219 8.6635 8.4731 8.3869 9.202 8.6635 8.4731 8.3869
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 20 8.7125 6.6008 4.0321 2.2556 8.6584 6.6008 4.0321 2.2556
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 20 5.4876 4.2841 3.8543 3.5987 5.4476 4.2841 3.8543 3.5987
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 20 6.8248 6.0478 5.8123 5.685 6.7966 6.0478 5.8123 5.685
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 20 8.3467 7.7344 7.5059 7.388 8.3258 7.7344 7.5059 7.388
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 20 3.5419 3.9399 4.2552 4.506 3.5489 3.9399 4.2552 4.506
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 20 6.7605 5.7397 5.4342 5.24 6.7247 5.7397 5.4342 5.24
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 20 5.8021 5.3741 5.2988 5.2987 5.785 5.3741 5.2988 5.2987
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 20 5.3728 5.349 5.4465 5.5463 5.3672 5.349 5.4465 5.5463
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 20 8.9008 8.2056 7.9665 7.8533 8.877 8.2056 7.9665 7.8533
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 20 5.5918 5.8381 6.0483 6.2044 5.595 5.8381 6.0483 6.2044
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 20 12.3486 12.0417 11.9865 12.0243 12.3377 12.0417 11.9865 12.0243
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 20 5.3693 5.054 5.0025 5.026 5.3563 5.054 5.0025 5.026
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 20 5.5502 5.8637 6.1467 6.3449 5.555 5.8637 6.1467 6.3449
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 20 6.7139 6.8336 6.9847 7.0574 6.7137 6.8336 6.9847 7.0574
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 20 6.4868 5.2071 4.7673 4.4918 6.4436 5.2071 4.7673 4.4918
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 20 4.1904 4.3306 4.5107 4.6777 4.1925 4.3306 4.5107 4.6777
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 20 4.5003 4.1522 4.0694 4.058 4.4857 4.1522 4.0694 4.058
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 20 3.7325 4.0197 4.2733 4.4631 3.7359 4.0197 4.2733 4.4631
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g18-39_v2.fits stis_ngsl_v2 20 10.5763 10.2644 10.163 10.1558 10.565 10.2644 10.163 10.1558
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g12-21_v2.fits stis_ngsl_v2 20 10.3998 10.0787 10.0116 10.0322 10.3879 10.0787 10.0116 10.0322
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd025893_v2.fits stis_ngsl_v2 20 7.5911 6.9624 6.7992 6.7506 7.5689 6.9624 6.7992 6.7506
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd132345_v2.fits stis_ngsl_v2 20 6.4884 5.482 5.1832 4.9808 6.4524 5.482 5.1832 4.9808
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd091316_v2.fits stis_ngsl_v2 20 3.6348 3.9909 4.2738 4.5319 3.6415 3.9909 4.2738 4.5319
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd117880_v2.fits stis_ngsl_v2 20 8.9994 9.1626 9.3493 9.449 8.9996 9.1626 9.3493 9.449
