survey version standard standard_catagory shift ZTF-g ZTF-r ZTF-i ZTF-G ZTF-R ZTF-I 
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 -25 5.0714 5.4264 5.7248 5.0664 5.4303 5.7254
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 -25 3.8551 2.9188 2.6536 3.8846 2.9141 2.6531
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 -25 8.3911 8.1847 8.2167 8.3991 8.1847 8.2168
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 -25 8.118 8.0517 8.1265 8.1235 8.0525 8.1267
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 -25 5.1845 4.3651 4.1341 5.2099 4.361 4.1337
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 -25 5.6931 5.8978 6.1512 5.6921 5.9011 6.1517
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 -25 9.2576 8.8772 8.7553 9.268 8.8751 8.7552
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 -25 8.9589 8.5707 8.4667 8.9714 8.5688 8.4666
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 -25 7.6627 7.4435 7.4194 7.6708 7.4428 7.4194
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 -25 3.3536 3.598 3.8251 3.3504 3.6009 3.8256
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 -25 6.4744 5.5089 5.2095 6.5036 5.5039 5.209
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 -25 9.184 8.6271 8.4393 9.2009 8.624 8.439
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 -25 8.6207 6.1683 3.6038 8.6485 6.1388 3.6
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 -25 5.4227 4.2129 3.7778 5.4559 4.2059 3.7771
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 -25 6.7768 6.0047 5.7695 6.8015 6.0006 5.7691
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 -25 8.3079 7.6927 7.4645 8.3258 7.6889 7.4641
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 -25 3.5441 3.9662 4.3134 3.5375 3.9706 4.3141
