survey version standard standard_catagory shift ZTF-g ZTF-r ZTF-i ZTF-G ZTF-R ZTF-I 
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 -45 5.0689 5.4217 5.7213 5.0642 5.4256 5.7219
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 -45 3.8765 2.9244 2.6561 3.9066 2.9196 2.6557
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 -45 8.3977 8.185 8.2158 8.406 8.185 8.2159
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 -45 8.1231 8.051 8.1253 8.129 8.0517 8.1255
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 -45 5.2027 4.3701 4.1364 5.2285 4.3659 4.1361
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 -45 5.6945 5.894 6.1482 5.694 5.8974 6.1487
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 -45 9.2655 8.8796 8.7566 9.2761 8.8775 8.7564
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 -45 8.9679 8.5731 8.4674 8.9805 8.5712 8.4672
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 -45 7.6693 7.4443 7.4192 7.6777 7.4437 7.4192
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 -45 3.3518 3.5944 3.823 3.3488 3.5973 3.8235
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 -45 6.496 5.5148 5.2127 6.5259 5.5097 5.2122
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 -45 9.196 8.631 8.4409 9.2132 8.6278 8.4406
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 -45 8.6598 6.1888 3.6322 8.6846 6.1586 3.6282
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 -45 5.4484 4.221 3.7822 5.4822 4.214 3.7815
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 -45 6.7943 6.0095 5.7719 6.8195 6.0054 5.7715
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 -45 8.3207 7.6972 7.4665 8.3387 7.6934 7.4662
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 -45 3.5401 3.9608 4.3093 3.5336 3.9652 4.31
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 -45 6.7237 5.6928 5.3795 6.7544 5.6876 5.379
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 -45 5.7776 5.3545 5.2878 5.7922 5.3529 5.2877
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 -45 5.358 5.347 5.4656 5.3621 5.3483 5.4659
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 -45 8.872 8.1675 7.9271 8.8923 8.1635 7.9268
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 -45 5.587 5.8475 6.0853 5.5844 5.8507 6.0858
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 -45 12.3306 12.0255 11.9786 12.3396 12.0243 11.9786
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 -45 5.3483 5.0369 4.9961 5.3591 5.0357 4.9961
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 -45 5.5468 5.8827 6.1922 5.5424 5.8864 6.1928
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 -45 6.7057 6.8373 7.0084 6.7057 6.8397 7.0087
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 -45 6.4461 5.1422 4.6931 6.4826 5.135 4.6924
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 -45 4.1847 4.3397 4.5387 4.1828 4.342 4.5391
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 -45 4.4779 4.1321 4.0556 4.4901 4.1306 4.0555
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 -45 3.7274 4.0341 4.3172 3.7239 4.0378 4.3177
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g18-39_v2.fits stis_ngsl_v2 -45 10.5577 10.2425 10.1468 10.5671 10.2407 10.1467
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g12-21_v2.fits stis_ngsl_v2 -45 10.381 10.06 10.0029 10.391 10.0586 10.0029
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd025893_v2.fits stis_ngsl_v2 -45 7.5628 6.9327 6.7745 7.5818 6.9296 6.7742
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd132345_v2.fits stis_ngsl_v2 -45 6.452 5.4357 5.1282 6.4831 5.4306 5.1276
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd091316_v2.fits stis_ngsl_v2 -45 3.6336 4.0092 4.3229 3.6279 4.0129 4.3235
