survey version standard standard_catagory shift ZTF-g ZTF-r ZTF-i ZTF-G ZTF-R ZTF-I 
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 20 5.0783 5.4371 5.7324 5.0728 5.441 5.733
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 20 3.805 2.9072 2.6473 3.833 2.9027 2.6469
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 20 8.3772 8.1842 8.2187 8.3845 8.1843 8.2188
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 20 8.1076 8.0538 8.1292 8.1124 8.0546 8.1294
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 20 5.1419 4.3543 4.1287 5.1659 4.3504 4.1284
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 20 5.6922 5.9063 6.1576 5.6903 5.9096 6.1581
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 20 9.2401 8.8718 8.7525 9.2502 8.8698 8.7523
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 20 8.9394 8.5658 8.4652 8.9515 8.564 8.4651
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 20 7.6486 7.4418 7.4198 7.6563 7.4412 7.4198
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 20 3.3582 3.606 3.8296 3.3547 3.6088 3.83
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 20 6.4237 5.4957 5.2021 6.4513 5.491 5.2016
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 20 9.1572 8.6189 8.4357 9.1737 8.6159 8.4354
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 20 8.5538 6.1179 3.5378 8.5867 6.0898 3.5344
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 20 5.3639 4.195 3.7678 5.3956 4.1883 3.7671
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 20 6.7356 5.9941 5.764 6.759 5.9902 5.7636
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 20 8.2794 7.6831 7.4599 8.2968 7.6794 7.4595
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 20 3.5542 3.9782 4.3226 3.5471 3.9826 4.3233
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 20 6.6476 5.673 5.3681 6.676 5.6682 5.3676
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 20 5.7447 5.3481 5.2871 5.7585 5.3467 5.287
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 20 5.345 5.3514 5.4713 5.3476 5.3528 5.4716
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 20 8.8247 8.1525 7.9205 8.8441 8.1486 7.9201
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 20 5.5895 5.859 6.0946 5.5853 5.8621 6.095
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 20 12.3088 12.0209 11.9799 12.3172 12.0198 11.98
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 20 5.3229 5.0323 4.9965 5.3329 5.0313 4.9965
