survey version standard standard_catagory shift CSP_TAMU-u CSP_TAMU-g CSP_TAMU-r CSP_TAMU-i CSP_TAMU-B CSP_TAMU-V CSP_TAMU-o CSP_TAMU-m CSP_TAMU-n CSP_TAMU-Y CSP_TAMU-y 
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 5 5.5396 5.0871 5.4014 5.6815 5.1593 5.3329 5.2279 5.2239 5.2289 5.3828 5.3742
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 5 6.4485 3.9093 2.964 2.6765 4.4246 3.4807 3.3757 3.3717 3.3767 1.7429 1.7146
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 5 9.45 8.4297 8.1923 8.2043 8.6574 8.3887 8.2837 8.2797 8.2847 7.6904 7.6795
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 5 9.2462 8.1538 8.0524 8.1091 8.354 8.1739 8.0689 8.0649 8.0699 7.6017 7.5896
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 5 7.525 5.2367 4.4052 4.1556 5.6866 4.8856 4.7806 4.7766 4.7816 3.2844 3.2591
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 5 6.8382 5.7185 5.879 6.1135 5.8487 5.8726 5.7676 5.7636 5.7686 5.7077 5.7018
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 5 10.6714 9.2925 8.9011 8.7661 9.5491 9.1901 9.0851 9.0811 9.0861 8.0108 7.9913
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 5 10.0863 9.0007 8.593 8.471 9.2801 8.8775 8.7725 8.7685 8.7735 7.7945 7.7757
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 5 8.7008 7.6996 7.4556 7.4149 7.9279 7.6562 7.5512 7.5472 7.5522 6.7781 6.7592
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 5 4.0459 3.3709 3.5806 3.7971 3.4609 3.5697 3.4647 3.4607 3.4657 3.3571 3.3473
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 5 9.2898 6.5274 5.5562 5.2407 7.031 6.1043 5.9993 5.9953 6.0003 4.2542 4.2252
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 5 10.6212 9.2302 8.66 8.4545 9.5686 9.024 8.919 8.915 8.92 7.656 7.6326
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 5 10.7394 8.6008 6.5504 3.8641 9.2706 7.9473 7.8423 7.8383 7.8433 0.4133 0.355
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 5 8.5461 5.4723 4.2777 3.8241 6.0467 4.9449 4.8399 4.8359 4.8409 2.7397 2.7112
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 5 9.0336 6.829 6.0439 5.792 7.2687 6.4976 6.3926 6.3886 6.3936 4.9233 4.8981
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 5 9.7267 8.3535 7.7305 7.4851 8.7046 8.1204 8.0154 8.0114 8.0164 6.6905 6.6733
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 5 3.7581 3.5573 3.9364 4.263 3.6092 3.8376 3.7326 3.7286 3.7336 4.0397 4.0319
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 5 9.6388 6.7531 5.735 5.4104 7.2667 6.3106 6.2056 6.2016 6.2066 4.3924 4.3619
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 5 7.147 5.813 5.3718 5.2864 6.12 5.6626 5.5576 5.5536 5.5586 4.6823 4.6681
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 5 6.587 5.3881 5.3454 5.4437 5.5684 5.4455 5.3405 5.3365 5.3415 4.9372 4.922
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 5 10.5052 8.9046 8.2024 7.9456 9.2819 8.6376 8.5326 8.5286 8.5336 7.1272 7.1054
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 5 6.5413 5.6092 5.8346 6.0509 5.7095 5.8207 5.7157 5.7117 5.7167 5.6513 5.6385
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 5 13.2609 12.3589 12.0403 11.9747 12.593 12.2878 12.1828 12.1788 12.1838 11.2317 11.1896
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 5 6.4617 5.3812 5.0514 4.9915 5.6401 5.2947 5.1897 5.1857 5.1907 4.4182 4.404
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 5 6.1413 5.5651 5.8618 6.1523 5.6437 5.8031 5.6981 5.6941 5.6991 5.8898 5.8861
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 5 7.7899 6.7286 6.8296 6.9837 6.8596 6.8665 6.7615 6.7575 6.7625 6.459 6.4468
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 5 9.7454 6.4665 5.1996 4.7373 7.0851 5.8906 5.7856 5.7816 5.7866 3.5658 3.5324
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 5 4.2193 4.2037 4.3289 4.5102 4.2941 4.3639 4.2589 4.2549 4.2599 4.1587 4.1455
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 5 5.6932 4.5123 4.1491 4.0562 4.7884 4.4059 4.3009 4.2969 4.3019 3.3903 3.3708
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 5 4.5819 3.7477 4.0158 4.2779 3.8432 3.9654 3.8604 3.8564 3.8614 3.9576 3.9513
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_g18-39_v2.fits stis_ngsl_v2 5 11.4902 10.5873 10.261 10.1491 10.8261 10.515 10.41 10.406 10.411 9.5749 9.5688
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_g12-21_v2.fits stis_ngsl_v2 5 11.3175 10.4107 10.0764 9.9999 10.6565 10.3274 10.2224 10.2184 10.2234 9.535 9.5372
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd025893_v2.fits stis_ngsl_v2 5 9.2826 7.5975 6.9603 6.7828 7.9584 7.3609 7.2559 7.2519 7.2569 6.0595 6.0392
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd132345_v2.fits stis_ngsl_v2 5 9.3971 6.4815 5.4768 5.1596 6.9994 6.0395 5.9345 5.9305 5.9355 4.1245 4.0936
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd091316_v2.fits stis_ngsl_v2 5 3.5677 3.6497 3.9879 4.28 3.6985 3.9114 3.8064 3.8024 3.8074 4.1254 4.1216
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd117880_v2.fits stis_ngsl_v2 5 10.0917 9.0143 9.1585 9.3501 9.1413 9.1645 9.0595 9.0555 9.0605 8.9081 8.9016
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_cd-621346_v2.fits stis_ngsl_v2 5 11.4385 10.1482 9.628 9.4549 10.4722 9.9585 9.8535 9.8495 9.8545 8.6848 8.6641
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_gl109_v2.fits stis_ngsl_v2 5 14.1936 11.3875 10.0035 8.7365 12.0241 10.8009 10.6959 10.6919 10.6969 7.3046 7.2797
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd016031_v2.fits stis_ngsl_v2 5 10.7963 9.9466 9.6619 9.5685 10.1693 9.8986 9.7936 9.7896 9.7946 8.9706 8.957
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_bd371458_v2.fits stis_ngsl_v2 5 10.2475 9.2593 8.8254 8.6917 9.5345 9.1247 9.0197 9.0157 9.0207 7.9817 7.9619
