survey version standard standard_catagory shift CSP_TAMU-u CSP_TAMU-g CSP_TAMU-r CSP_TAMU-i CSP_TAMU-B CSP_TAMU-V CSP_TAMU-o CSP_TAMU-m CSP_TAMU-n CSP_TAMU-Y CSP_TAMU-y 
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 -10 5.5601 5.0847 5.3979 5.6786 5.1595 5.3303 5.2253 5.2213 5.2263 5.3818 5.3734
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 -10 6.4708 3.9269 2.969 2.6783 4.4494 3.4904 3.3854 3.3814 3.3864 1.7455 1.7172
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 -10 9.4712 8.4357 8.1927 8.2038 8.6659 8.3917 8.2867 8.2827 8.2877 7.6901 7.6794
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 -10 9.2766 8.1583 8.0518 8.1081 8.3615 8.1757 8.0707 8.0667 8.0717 7.6015 7.5896
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 -10 7.5419 5.252 4.4097 4.1572 5.7082 4.894 4.789 4.785 4.79 3.2865 3.2613
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 -10 6.8842 5.719 5.8763 6.111 5.853 5.8724 5.7674 5.7634 5.7684 5.7065 5.7009
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 -10 10.7222 9.2991 8.9033 8.7669 9.5586 9.1944 9.0894 9.0854 9.0904 8.0121 7.9925
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 -10 10.1024 9.009 8.5949 8.4717 9.2911 8.8817 8.7767 8.7727 8.7777 7.7954 7.7768
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 -10 8.7248 7.7053 7.4563 7.4149 7.9361 7.659 7.554 7.55 7.555 6.7791 6.7603
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 -10 4.087 3.3694 3.578 3.7948 3.462 3.5678 3.4628 3.4588 3.4638 3.3564 3.3468
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 -10 9.3103 6.5449 5.5615 5.2429 7.0557 6.1142 6.0092 6.0052 6.0102 4.2571 4.2279
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 -10 10.6367 9.241 8.6631 8.4559 9.5831 9.0297 8.9247 8.9207 8.9257 7.6576 7.6344
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 -10 10.8139 8.6174 6.5823 3.8881 9.2827 7.967 7.862 7.858 7.863 0.4215 0.3628
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 -10 8.5704 5.4927 4.2847 3.8275 6.0743 4.9575 4.8525 4.8485 4.8535 2.7425 2.714
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 -10 9.0507 6.8437 6.0482 5.7937 7.2897 6.5054 6.4004 6.3964 6.4014 4.9254 4.9002
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 -10 9.7477 8.3649 7.7341 7.4868 8.7191 8.1266 8.0216 8.0176 8.0226 6.6914 6.6742
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 -10 3.7681 3.5539 3.9324 4.2597 3.6079 3.8343 3.7293 3.7253 3.7303 4.0385 4.031
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 -10 9.6607 6.7712 5.7406 5.4127 7.2921 6.3211 6.2161 6.2121 6.2171 4.3954 4.3649
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 -10 7.1613 5.8226 5.3736 5.2867 6.1332 5.6671 5.5621 5.5581 5.5631 4.6824 4.6684
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 -10 6.6248 5.3917 5.3444 5.4423 5.5754 5.447 5.342 5.338 5.343 4.9375 4.9225
