survey version standard standard_catagory shift SDSS-G SDSS-R SDSS-I SDSS-Z SDSS-g SDSS-r SDSS-i SDSS-z 
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 -5 5.0677 5.3993 5.6716 5.8755 5.0726 5.3993 5.6716 5.8755
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 -5 3.9402 2.9778 2.7005 2.5583 3.9055 2.9778 2.7005 2.5583
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 -5 8.4256 8.1951 8.2111 8.2673 8.4147 8.1951 8.2111 8.2673
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 -5 8.146 8.0551 8.113 8.1888 8.138 8.0551 8.113 8.1888
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 -5 5.2596 4.416 4.1781 4.0554 5.2294 4.416 4.1781 4.0554
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 -5 5.7037 5.878 6.1061 6.2463 5.703 5.878 6.1061 6.2463
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 -5 9.2945 8.908 8.7827 8.7079 9.2816 8.908 8.7827 8.7079
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 -5 9.0029 8.5993 8.4868 8.4612 8.9874 8.5993 8.4868 8.4612
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 -5 7.6964 7.46 7.4254 7.4388 7.6856 7.46 7.4254 7.4388
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 -5 3.3541 3.5795 3.791 3.8877 3.3571 3.5795 3.791 3.8877
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 -5 6.5603 5.57 5.2675 5.091 6.5253 5.57 5.2675 5.091
