survey version standard standard_catagory shift SDSS-G SDSS-R SDSS-I SDSS-Z SDSS-g SDSS-r SDSS-i SDSS-z 
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 10 5.0701 5.4028 5.6745 5.8767 5.0752 5.4028 5.6745 5.8767
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 10 3.9227 2.9725 2.6986 2.5565 3.8884 2.9725 2.6986 2.5565
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 10 8.4201 8.1946 8.2116 8.2678 8.4096 8.1946 8.2116 8.2678
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 10 8.1419 8.0556 8.114 8.1892 8.1343 8.0556 8.114 8.1892
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 10 5.2444 4.4114 4.1765 4.054 5.2147 4.4114 4.1765 4.054
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 10 5.7032 5.8807 6.1086 6.2463 5.703 5.8807 6.1086 6.2463
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 10 9.288 8.9058 8.7819 8.707 9.2754 8.9058 8.7819 8.707
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 10 8.9951 8.5973 8.486 8.461 8.9799 8.5973 8.486 8.461
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 10 7.6909 7.4592 7.4254 7.4388 7.6805 7.4592 7.4254 7.4388
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 10 3.3556 3.5821 3.7933 3.8875 3.3588 3.5821 3.7933 3.8875
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 10 6.5426 5.5645 5.2653 5.089 6.5081 5.5645 5.2653 5.089
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 10 9.2288 8.6656 8.474 8.3874 9.2086 8.6656 8.474 8.3874
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 10 8.7301 6.6135 4.054 2.2652 8.6766 6.6135 4.054 2.2652
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 10 5.5011 4.2888 3.8566 3.6004 5.4608 4.2888 3.8566 3.6004
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 10 6.8344 6.0507 5.8134 5.686 6.8059 6.0507 5.8134 5.686
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 10 8.3538 7.7369 7.5071 7.3886 8.3327 7.7369 7.5071 7.3886
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 10 3.5397 3.9372 4.253 4.5048 3.5465 3.9372 4.253 4.5048
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 10 6.7727 5.7435 5.4357 5.2416 6.7365 5.7435 5.4357 5.2416
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 10 5.8081 5.3754 5.2991 5.2986 5.7906 5.3754 5.2991 5.2986
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 10 5.3748 5.3484 5.4455 5.5461 5.369 5.3484 5.4455 5.5461
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 10 8.909 8.2082 7.9678 7.854 8.8849 8.2082 7.9678 7.854
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 10 5.5909 5.8364 6.0467 6.2041 5.5939 5.8364 6.0467 6.2041
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 10 12.3523 12.0425 11.9868 12.024 12.3413 12.0425 11.9868 12.024
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 10 5.3738 5.0549 5.0026 5.0258 5.3605 5.0549 5.0026 5.0258
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 10 5.5488 5.8614 6.1447 6.3441 5.5534 5.8614 6.1447 6.3441
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 10 6.7141 6.8323 6.9835 7.0578 6.7137 6.8323 6.9835 7.0578
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 10 6.5013 5.2121 4.7695 4.4939 6.4578 5.2121 4.7695 4.4939
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 10 4.1897 4.3292 4.5094 4.6766 4.1918 4.3292 4.5094 4.6766
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 10 4.5053 4.1533 4.0698 4.058 4.4905 4.1533 4.0698 4.058
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 10 3.7315 4.0175 4.2715 4.4626 3.7347 4.0175 4.2715 4.4626
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g18-39_v2.fits stis_ngsl_v2 10 10.5802 10.2656 10.1634 10.1557 10.5687 10.2656 10.1634 10.1557
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g12-21_v2.fits stis_ngsl_v2 10 10.4039 10.0797 10.0117 10.0318 10.3918 10.0797 10.0117 10.0318
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd025893_v2.fits stis_ngsl_v2 10 7.5988 6.9647 6.7999 6.7509 7.5762 6.9647 6.7999 6.7509
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd132345_v2.fits stis_ngsl_v2 10 6.5006 5.4857 5.1846 4.9824 6.4643 5.4857 5.1846 4.9824
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd091316_v2.fits stis_ngsl_v2 10 3.6326 3.9886 4.2717 4.5302 3.6392 3.9886 4.2717 4.5302
