survey version standard standard_catagory shift SDSS-G SDSS-R SDSS-I SDSS-Z SDSS-g SDSS-r SDSS-i SDSS-z 
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 -20 5.0655 5.3958 5.6688 5.8743 5.0701 5.3958 5.6688 5.8743
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 -20 3.9579 2.983 2.7021 2.56 3.9227 2.983 2.7021 2.56
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 -20 8.4313 8.1955 8.2106 8.2669 8.4201 8.1955 8.2106 8.2669
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 -20 8.1504 8.0547 8.1121 8.1883 8.1419 8.0547 8.1121 8.1883
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 -20 5.275 4.4206 4.1797 4.0567 5.2444 4.4206 4.1797 4.0567
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 -20 5.7044 5.8752 6.1036 6.2462 5.7032 5.8752 6.1036 6.2462
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 -20 9.3011 8.9102 8.7836 8.7089 9.288 8.9102 8.7836 8.7089
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 -20 9.011 8.6014 8.4876 8.4613 8.9951 8.6014 8.4876 8.4613
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 -20 7.702 7.4609 7.4254 7.4388 7.6909 7.4609 7.4254 7.4388
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 -20 3.3527 3.577 3.7886 3.8879 3.3556 3.577 3.7886 3.8879
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 -20 6.5781 5.5755 5.2696 5.0931 6.5426 5.5755 5.2696 5.0931
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 -20 9.2499 8.6721 8.4769 8.3889 9.2288 8.6721 8.4769 8.3889
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 -20 8.7803 6.6499 4.1287 2.2938 8.7301 6.6499 4.1287 2.2938
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 -20 5.5423 4.3031 3.8636 3.6055 5.5011 4.3031 3.8636 3.6055
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 -20 6.8639 6.0595 5.8167 5.6888 6.8344 6.0595 5.8167 5.6888
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 -20 8.3757 7.7444 7.5108 7.3906 8.3538 7.7444 7.5108 7.3906
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 -20 3.5332 3.9291 4.2464 4.5012 3.5397 3.9291 4.2464 4.5012
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 -20 6.8099 5.755 5.4402 5.2461 6.7727 5.755 5.4402 5.2461
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 -20 5.8265 5.3793 5.2997 5.2985 5.8081 5.3793 5.2997 5.2985
