survey version standard standard_catagory shift ZTF-g ZTF-r ZTF-i ZTF-G ZTF-R ZTF-I 
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 -40 5.0696 5.4229 5.7222 5.0649 5.4268 5.7228
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 -40 3.8712 2.9229 2.6555 3.9011 2.9182 2.6551
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 -40 8.3961 8.1849 8.216 8.4044 8.1849 8.2162
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 -40 8.1219 8.0512 8.1256 8.1278 8.0519 8.1258
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 -40 5.1982 4.3689 4.1358 5.2239 4.3647 4.1355
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 -40 5.6944 5.895 6.149 5.6938 5.8983 6.1495
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 -40 9.2636 8.879 8.7563 9.2742 8.8769 8.7561
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 -40 8.9657 8.5725 8.4672 8.9783 8.5706 8.4671
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 -40 7.6677 7.4441 7.4193 7.6761 7.4434 7.4193
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 -40 3.3524 3.5953 3.8236 3.3493 3.5982 3.824
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 -40 6.4907 5.5133 5.2119 6.5204 5.5083 5.2114
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 -40 9.193 8.63 8.4405 9.2101 8.6268 8.4402
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 -40 8.6501 6.1837 3.6251 8.6757 6.1536 3.6212
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 -40 5.442 4.2189 3.7812 5.4757 4.212 3.7804
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 -40 6.79 6.0082 5.7713 6.815 6.0042 5.7709
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 -40 8.3175 7.696 7.466 8.3355 7.6922 7.4656
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 -40 3.5412 3.9621 4.3103 3.5348 3.9666 4.311
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 -40 6.7181 5.6912 5.3787 6.7487 5.686 5.3781
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 -40 5.7751 5.354 5.2877 5.7896 5.3524 5.2877
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 -40 5.3571 5.3473 5.4661 5.3611 5.3486 5.4664
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 -40 8.8684 8.1662 7.9266 8.8886 8.1623 7.9263
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 -40 5.5873 5.8483 6.086 5.5846 5.8515 6.0865
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 -40 12.3289 12.0251 11.9786 12.3379 12.0239 11.9787
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 -40 5.3463 5.0365 4.9962 5.3571 5.0353 4.9962
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 -40 5.5475 5.8838 6.1931 5.5431 5.8875 6.1937
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 -40 6.7056 6.838 7.0089 6.7055 6.8403 7.0092
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 -40 6.4392 5.1401 4.6919 6.4756 5.1329 4.6912
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 -40 4.185 4.3403 4.5393 4.183 4.3427 4.5397
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 -40 4.4757 4.1316 4.0555 4.4879 4.1301 4.0554
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 -40 3.7278 4.0352 4.318 3.7243 4.0389 4.3186
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g18-39_v2.fits stis_ngsl_v2 -40 10.556 10.242 10.1467 10.5654 10.2402 10.1466
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g12-21_v2.fits stis_ngsl_v2 -40 10.3791 10.0595 10.0029 10.3891 10.0581 10.0029
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd025893_v2.fits stis_ngsl_v2 -40 7.5595 6.9316 6.7742 7.5784 6.9286 6.774
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd132345_v2.fits stis_ngsl_v2 -40 6.4464 5.4342 5.1273 6.4773 5.4291 5.1267
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd091316_v2.fits stis_ngsl_v2 -40 3.6347 4.0103 4.3239 3.6289 4.0141 4.3245
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd117880_v2.fits stis_ngsl_v2 -40 8.9913 9.1708 9.3801 8.9906 9.1735 9.3805
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_cd-621346_v2.fits stis_ngsl_v2 -40 10.1135 9.6018 9.443 10.1301 9.599 9.4428
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_gl109_v2.fits stis_ngsl_v2 -40 11.3759 9.8737 8.607 11.4118 9.8602 8.6051
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd016031_v2.fits stis_ngsl_v2 -40 9.9163 9.6441 9.5674 9.9244 9.6426 9.5673
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_bd371458_v2.fits stis_ngsl_v2 -40 9.2272 8.8035 8.6832 9.2398 8.8014 8.6831
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd081797_v2.fits stis_ngsl_v2 -40 2.8109 1.6088 1.2112 2.8455 1.6024 1.2106
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd067390_v2.fits stis_ngsl_v2 -40 9.6104 9.4817 9.5169 9.6168 9.4819 9.517
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd061603_v2.fits stis_ngsl_v2 -40 6.6708 5.3248 4.7543 6.708 5.3166 4.7534
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd062412_v2.fits stis_ngsl_v2 -40 6.0473 5.2989 5.0765 6.0711 5.2951 5.0761
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd031219_v2.fits stis_ngsl_v2 -40 8.3703 8.0149 7.9881 8.383 8.0139 7.9881
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd002857_v2.fits stis_ngsl_v2 -40 10.2752 10.4134 10.548 10.2757 10.4152 10.5483
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd114710_v2.fits stis_ngsl_v2 -40 4.4428 4.065 3.9878 4.4552 4.0632 3.9877
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd198809_v2.fits stis_ngsl_v2 -40 4.8976 4.278 4.1052 4.9174 4.2748 4.105
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g88-27_v2.fits stis_ngsl_v2 -40 10.8566 10.5593 10.4901 10.8655 10.5579 10.4901
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd210807_v2.fits stis_ngsl_v2 -40 5.2134 4.5109 4.3276 5.2359 4.5076 4.3274
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd201091_v2.fits stis_ngsl_v2 -40 5.8066 4.7176 4.3284 5.8324 4.7118 4.3278
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd165341_v2.fits stis_ngsl_v2 -40 4.5752 3.9434 3.7866 4.5943 3.9405 3.7864
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd131873_v2.fits stis_ngsl_v2 -40 2.8056 1.5381 1.0585 2.8408 1.5307 1.0577
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_cd-3018140_v2.fits stis_ngsl_v2 -40 10.1717 9.9677 9.9403 10.1795 9.967 9.9403
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd184266_v2.fits stis_ngsl_v2 -40 7.8449 7.4045 7.2608 7.8568 7.4021 7.2607
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd057060_v2.fits stis_ngsl_v2 -40 5.0775 5.4367 5.7342 5.0715 5.4402 5.7347
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd045282_v2.fits stis_ngsl_v2 -40 8.3133 7.8011 7.6434 8.328 7.7984 7.6432
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd176437_v2.fits stis_ngsl_v2 -40 3.0963 3.3781 3.6108 3.0927 3.3812 3.6113
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd185144_v2.fits stis_ngsl_v2 -40 4.9993 4.3853 4.2136 5.0174 4.3821 4.2134
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd057727_v2.fits stis_ngsl_v2 -40 5.4007 4.7069 4.5122 5.4224 4.7034 4.5119
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g188-30_v2.fits stis_ngsl_v2 -40 11.5028 11.0623 10.9271 11.5169 11.06 10.927
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_bd+112998_v2.fits stis_ngsl_v2 -40 9.3453 8.8598 8.6741 9.3589 8.8569 8.6738
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd204155_v2.fits stis_ngsl_v2 -40 8.6974 8.3206 8.2176 8.7097 8.3188 8.2175
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g029-023_v2.fits stis_ngsl_v2 -40 10.4105 10.0996 10.0337 10.4198 10.0983 10.0337
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd122956_v2.fits stis_ngsl_v2 -40 7.7005 6.8726 6.5569 7.7235 6.8676 6.5564
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd128279_v2.fits stis_ngsl_v2 -40 8.3132 7.7974 7.6004 8.327 7.7942 7.6001
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd205811_v2.fits stis_ngsl_v2 -40 6.0558 6.309 6.5412 6.0541 6.3122 6.5417
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd217107_v2.fits stis_ngsl_v2 -40 6.4565 5.9365 5.8202 6.4736 5.9343 5.8201
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g194-22_v2.fits stis_ngsl_v2 -40 9.9468 9.7118 9.6772 9.9555 9.7109 9.6772
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd039587_v2.fits stis_ngsl_v2 -40 4.5882 4.1966 4.1286 4.6011 4.195 4.1285
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g24-3_v2.fits stis_ngsl_v2 -40 10.6445 10.3079 10.203 10.6542 10.306 10.2029
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd163810_v2.fits stis_ngsl_v2 -40 10.1808 9.7886 9.6976 10.1928 9.7869 9.6975
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd108945_v2.fits stis_ngsl_v2 -40 5.3889 5.6016 5.8658 5.3882 5.6051 5.8663
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd085380_v2.fits stis_ngsl_v2 -40 6.6301 6.2584 6.1864 6.6423 6.2568 6.1863
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd002665_v2.fits stis_ngsl_v2 -40 8.0949 7.458 7.2147 8.1125 7.4541 7.2143
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_lhs482_v2.fits stis_ngsl_v2 -40 12.8377 11.2927 10.4147 12.8724 11.2841 10.4134
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd065354_v2.fits stis_ngsl_v2 -40 7.6107 6.2266 5.7074 7.6485 6.2186 5.7065
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd167006_v2.fits stis_ngsl_v2 -40 5.7017 4.2014 3.2273 5.7402 4.1893 3.2257
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd204867_v2.fits stis_ngsl_v2 -40 3.214 2.6266 2.4904 3.2333 2.624 2.4902
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd222404_v2.fits stis_ngsl_v2 -40 3.6594 2.8526 2.6136 3.6846 2.8485 2.6132
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd174240_v2.fits stis_ngsl_v2 -40 6.1183 6.3407 6.5542 6.1166 6.3436 6.5547
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd134113_v2.fits stis_ngsl_v2 -40 8.4786 8.0799 7.9704 8.4909 8.078 7.9702
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd105546_v2.fits stis_ngsl_v2 -40 8.9091 8.3915 8.2191 8.9241 8.3886 8.2189
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd148293_v2.fits stis_ngsl_v2 -40 5.7508 4.8765 4.6169 5.7782 4.872 4.6165
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd212593_v2.fits stis_ngsl_v2 -40 4.4863 4.6053 4.7803 4.4863 4.6074 4.7807
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd005544_v2.fits stis_ngsl_v2 -40 8.1375 7.2372 6.9404 8.1651 7.2323 6.9399
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd232078_v2.fits stis_ngsl_v2 -40 9.4545 7.6508 6.8849 9.4973 7.6392 6.8837
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd196218_v2.fits stis_ngsl_v2 -40 7.5924 7.2897 7.2232 7.6028 7.2883 7.2232
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd076932_v2.fits stis_ngsl_v2 -40 5.9742 5.6366 5.5487 5.9854 5.635 5.5486
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd190404_v2.fits stis_ngsl_v2 -40 7.666 6.999 6.8111 7.6847 6.9957 6.8108
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd000886_v2.fits stis_ngsl_v2 -40 2.5849 3.0552 3.4239 2.577 3.0599 3.4246
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd167946_v2.fits stis_ngsl_v2 -40 7.2492 7.4559 7.6934 7.2474 7.459 7.6939
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd210745_v2.fits stis_ngsl_v2 -40 4.0972 2.7917 2.3753 4.1347 2.7849 2.3746
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd004727_v2.fits stis_ngsl_v2 -40 4.3264 4.7046 5.0305 4.3208 4.7087 5.0311
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g169-28_v2.fits stis_ngsl_v2 -40 11.5377 11.1884 11.0924 11.5487 11.1867 11.0923
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd029391_v2.fits stis_ngsl_v2 -40 5.208 5.1749 5.2618 5.2128 5.1759 5.262
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd009051_v2.fits stis_ngsl_v2 -40 9.3117 8.6614 8.4369 9.3305 8.6577 8.4366
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd041667_v2.fits stis_ngsl_v2 -40 8.917 8.1396 7.8373 8.9399 8.1348 7.8368
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd065228_v2.fits stis_ngsl_v2 -40 4.4353 3.952 3.8356 4.4513 3.9497 3.8354
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd173819_v2.fits stis_ngsl_v2 -40 6.641 5.3655 4.6105 6.677 5.3561 4.6092
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd005395_v2.fits stis_ngsl_v2 -40 5.0254 4.2929 4.0519 5.0484 4.289 4.0515
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd103036_v2.fits stis_ngsl_v2 -40 8.7259 7.6807 7.3084 8.7544 7.6745 7.3078
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_gj825_v2.fits stis_ngsl_v2 -40 7.4147 6.0064 5.3329 7.4459 5.9979 5.3318
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd043042_v2.fits stis_ngsl_v2 -40 5.361 5.1155 5.1293 5.37 5.1151 5.1294
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd143459_v2.fits stis_ngsl_v2 -40 5.452 5.6655 5.8498 5.4501 5.668 5.8502
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd164402_v2.fits stis_ngsl_v2 -40 5.5747 5.803 6.0435 5.572 5.8058 6.044
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd175640_v2.fits stis_ngsl_v2 -40 6.0514 6.3293 6.5947 6.048 6.3327 6.5952
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd146051_v2.fits stis_ngsl_v2 -40 3.5062 2.1145 1.3928 3.5434 2.1048 1.3916
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd105740_v2.fits stis_ngsl_v2 -40 8.8513 8.0677 7.7846 8.874 8.0632 7.7841
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd113002_v2.fits stis_ngsl_v2 -40 9.0425 8.4738 8.28 9.0595 8.4705 8.2797
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd174959_v2.fits stis_ngsl_v2 -40 5.9141 6.2479 6.5454 5.9093 6.2517 6.546
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd074721_v2.fits stis_ngsl_v2 -40 8.5783 8.7958 9.0102 8.5767 8.7987 9.0106
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hr0753_v2.fits stis_ngsl_v2 -40 6.6494 5.8837 5.67 6.6699 5.8801 5.6696
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_bd511696_v2.fits stis_ngsl_v2 -40 10.1446 9.7365 9.6352 10.157 9.7345 9.6351
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd128801_v2.fits stis_ngsl_v2 -40 8.6306 8.9009 9.1569 8.6272 8.9042 9.1574
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd027295_v2.fits stis_ngsl_v2 -40 5.3138 5.6588 5.9462 5.3094 5.6627 5.9467
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hr8086_v2.fits stis_ngsl_v2 -40 6.7523 5.4246 4.868 6.7819 5.4172 4.8671
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd010780_v2.fits stis_ngsl_v2 -40 5.9488 5.3568 5.1964 5.9668 5.3539 5.1962
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd113092_v2.fits stis_ngsl_v2 -40 5.9738 4.8905 4.4923 6.0051 4.8842 4.4916
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd083212_v2.fits stis_ngsl_v2 -40 8.82 7.9343 7.6046 8.8449 7.929 7.6041
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_bd413931_v2.fits stis_ngsl_v2 -40 10.5523 10.0947 9.9736 10.5661 10.0924 9.9735
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd147394_v2.fits stis_ngsl_v2 -40 3.6567 4.0668 4.3934 3.6507 4.0711 4.394
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd102212_v2.fits stis_ngsl_v2 -40 4.7467 3.4133 2.7188 4.7824 3.404 2.7176
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd140232_v2.fits stis_ngsl_v2 -40 5.7972 5.8362 5.9599 5.7997 5.8377 5.9602
