survey version standard standard_catagory shift ZTFS-g ZTFS-r ZTFS-i 
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 30 5.08 5.439 5.734
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 30 3.794 2.904 2.646
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 30 8.374 8.184 8.219
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 30 8.106 8.054 8.13
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 30 5.132 4.352 4.128
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 30 5.693 5.908 6.159
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 30 9.236 8.871 8.752
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 30 8.935 8.565 8.465
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 30 7.646 7.441 7.42
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 30 3.36 3.608 3.831
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 30 6.413 5.493 5.2
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 30 9.151 8.617 8.435
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 30 8.546 6.105 3.523
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 30 5.351 4.191 3.766
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 30 6.726 5.992 5.763
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 30 8.273 7.681 7.459
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 30 3.557 3.981 4.325
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 30 6.636 5.67 5.366
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 30 5.74 5.347 5.287
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 30 5.344 5.352 5.472
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 30 8.817 8.15 7.919
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 30 5.591 5.861 6.096
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 30 12.306 12.02 11.98
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 30 5.319 5.032 4.997
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 30 5.557 5.9 6.205
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 30 6.703 6.847 7.015
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 30 6.34 5.112 4.675
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 30 4.19 4.35 4.548
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 30 4.446 4.125 4.054
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 30 3.734 4.05 4.33
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_g18-39_v2.fits stis_ngsl_v2 30 10.532 10.235 10.145
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_g12-21_v2.fits stis_ngsl_v2 30 10.354 10.054 10.003
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd025893_v2.fits stis_ngsl_v2 30 7.512 6.919 6.77
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd132345_v2.fits stis_ngsl_v2 30 6.364 5.414 5.115
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd091316_v2.fits stis_ngsl_v2 30 3.65 4.026 4.338
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd117880_v2.fits stis_ngsl_v2 30 8.99 9.182 9.388
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_cd-621346_v2.fits stis_ngsl_v2 30 10.074 9.591 9.438
