survey version standard standard_catagory shift ZTF-g ZTF-r ZTF-i ZTF-G ZTF-R ZTF-I 
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 10 5.0763 5.4348 5.7307 5.0708 5.4386 5.7313
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 10 3.8161 2.9098 2.6487 3.8445 2.9053 2.6483
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 10 8.38 8.1843 8.2182 8.3875 8.1844 8.2183
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 10 8.1096 8.0534 8.1286 8.1144 8.0541 8.1288
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 10 5.1515 4.3567 4.1299 5.1758 4.3528 4.1296
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 10 5.6917 5.9044 6.1562 5.6898 5.9077 6.1567
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 10 9.2439 8.873 8.7531 9.254 8.871 8.753
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 10 8.9436 8.5669 8.4656 8.9557 8.565 8.4654
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 10 7.6515 7.4422 7.4197 7.6592 7.4415 7.4197
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 10 3.3569 3.6042 3.8286 3.3534 3.6071 3.8291
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 10 6.435 5.4987 5.2037 6.4631 5.4939 5.2032
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 10 9.1631 8.6208 8.4365 9.1797 8.6177 8.4362
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 10 8.5631 6.1299 3.5527 8.5951 6.1014 3.5492
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 10 5.3769 4.199 3.77 5.409 4.1922 3.7693
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 10 6.7449 5.9964 5.7652 6.7686 5.9926 5.7649
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 10 8.2857 7.6852 7.4609 8.3032 7.6815 7.4605
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 10 3.5516 3.9756 4.3206 3.5446 3.9799 4.3213
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 10 6.6595 5.676 5.3699 6.6883 5.6711 5.3694
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 10 5.7497 5.3491 5.2872 5.7635 5.3476 5.2871
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 10 5.3464 5.3507 5.4704 5.3491 5.3521 5.4707
