survey version standard standard_catagory shift SDSS-G SDSS-R SDSS-I SDSS-Z SDSS-g SDSS-r SDSS-i SDSS-z 
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 -35 5.0633 5.3923 5.6659 5.8729 5.0633 5.3923 5.6659 5.8729
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 -35 3.9757 2.9883 2.7038 2.5617 3.9757 2.9883 2.7038 2.5617
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 -35 8.4372 8.196 8.21 8.2663 8.4372 8.196 8.21 8.2663
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 -35 8.1549 8.0542 8.1112 8.1878 8.1549 8.0542 8.1112 8.1878
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 -35 5.2907 4.4253 4.1811 4.058 5.2907 4.4253 4.1811 4.058
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 -35 5.7054 5.8725 6.1011 6.246 5.7054 5.8725 6.1011 6.246
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 -35 9.308 8.9125 8.7844 8.7097 9.308 8.9125 8.7844 8.7097
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 -35 9.0192 8.6035 8.4883 8.4614 9.0192 8.6035 8.4883 8.4614
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 -35 7.7078 7.4617 7.4254 7.4387 7.7078 7.4617 7.4254 7.4387
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 -35 3.3514 3.5744 3.7862 3.888 3.3514 3.5744 3.7862 3.888
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 -35 6.5961 5.5812 5.2716 5.095 6.5961 5.5812 5.2716 5.095
