survey version standard standard_catagory shift ZTF-g ZTF-r ZTF-i ZTF-G ZTF-R ZTF-I 
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 45 5.0838 5.4429 5.7367 5.0783 5.4467 5.7372
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 45 3.778 2.9004 2.6437 3.8051 2.8961 2.6433
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 45 8.3704 8.184 8.2197 8.3777 8.1841 8.2199
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 45 8.1033 8.0548 8.1307 8.1079 8.0556 8.1309
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 45 5.1185 4.3484 4.1257 5.1417 4.3446 4.1254
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 45 5.6944 5.9109 6.1611 5.6925 5.9142 6.1615
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 45 9.2308 8.8688 8.7509 9.2408 8.8668 8.7508
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 45 8.929 8.563 8.4644 8.9409 8.5613 8.4643
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 45 7.6417 7.4408 7.42 7.6492 7.4401 7.42
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 45 3.3617 3.6103 3.832 3.3582 3.6131 3.8324
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 45 6.396 5.4885 5.1979 6.4225 5.4839 5.1975
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 45 9.1427 8.6144 8.4337 9.1589 8.6114 8.4334
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 45 8.535 6.0849 3.5002 8.5697 6.0573 3.4969
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 45 5.332 4.1852 3.7621 5.3628 4.1786 3.7615
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 45 6.7129 5.9883 5.7608 6.7354 5.9845 5.7605
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 45 8.2639 7.6776 7.4574 8.2811 7.674 7.457
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 45 3.561 3.9847 4.3277 3.5539 3.9891 4.3284
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 45 6.6187 5.6657 5.3636 6.646 5.661 5.3631
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 45 5.7325 5.3458 5.2868 5.746 5.3444 5.2868
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 45 5.3423 5.3531 5.4734 5.3448 5.3545 5.4737
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 45 8.8065 8.1469 7.918 8.8255 8.1431 7.9177
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 45 5.5935 5.8636 6.098 5.5892 5.8666 6.0985
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 45 12.3009 12.0188 11.9806 12.3092 12.0177 11.9806
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 45 5.3139 5.0306 4.9967 5.3238 5.0296 4.9967
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 45 5.5605 5.9029 6.208 5.5553 5.9065 6.2086
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 45 6.7036 6.8495 7.0166 6.7024 6.8517 7.0169
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 45 6.3198 5.1062 4.6709 6.3531 5.0995 4.6702
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 45 4.191 4.3527 4.55 4.1889 4.355 4.5504
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 45 4.4402 4.1241 4.0539 4.4515 4.1227 4.0539
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 45 3.7367 4.0534 4.3325 3.7319 4.0571 4.3331
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g18-39_v2.fits stis_ngsl_v2 45 10.5271 10.2336 10.1448 10.5359 10.2319 10.1448
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g12-21_v2.fits stis_ngsl_v2 45 10.3485 10.0524 10.0028 10.3578 10.0511 10.0028
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd025893_v2.fits stis_ngsl_v2 45 7.502 6.9161 6.7696 7.5195 6.9134 6.7694
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd132345_v2.fits stis_ngsl_v2 45 6.3461 5.4094 5.1117 6.3735 5.4048 5.1112
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd091316_v2.fits stis_ngsl_v2 45 3.6532 4.0295 4.3405 3.6473 4.0332 4.3411
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd117880_v2.fits stis_ngsl_v2 45 8.9915 9.1844 9.3893 8.9896 9.1871 9.3897
