survey version standard standard_catagory shift SDSS-G SDSS-R SDSS-I SDSS-Z SDSS-g SDSS-r SDSS-i SDSS-z 
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 -30 5.064 5.3935 5.6669 5.8734 5.0685 5.3935 5.6669 5.8734
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 -30 3.9698 2.9866 2.7032 2.5611 3.9344 2.9866 2.7032 2.5611
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 -30 8.4352 8.1959 8.2102 8.2665 8.4237 8.1959 8.2102 8.2665
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 -30 8.1534 8.0544 8.1115 8.188 8.1446 8.0544 8.1115 8.188
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 -30 5.2854 4.4237 4.1806 4.0576 5.2545 4.4237 4.1806 4.0576
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 -30 5.705 5.8734 6.1019 6.2461 5.7035 5.8734 6.1019 6.2461
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 -30 9.3057 8.9117 8.7842 8.7094 9.2923 8.9117 8.7842 8.7094
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 -30 9.0165 8.6028 8.4881 8.4614 9.0003 8.6028 8.4881 8.4614
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 -30 7.7058 7.4614 7.4254 7.4388 7.6945 7.4614 7.4254 7.4388
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 -30 3.3519 3.5753 3.787 3.888 3.3546 3.5753 3.787 3.888
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 -30 6.5901 5.5793 5.2709 5.0944 6.5544 5.5793 5.2709 5.0944
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 -30 9.2571 8.6743 8.4779 8.3894 9.2357 8.6743 8.4779 8.3894
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 -30 8.796 6.6616 4.1555 2.3034 8.7473 6.6616 4.1555 2.3034
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 -30 5.5561 4.308 3.8659 3.6072 5.5147 4.308 3.8659 3.6072
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 -30 6.874 6.0625 5.8177 5.6896 6.8442 6.0625 5.8177 5.6896
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 -30 8.3832 7.7469 7.512 7.3912 8.361 7.7469 7.512 7.3912
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 -30 3.5312 3.9265 4.2442 4.4999 3.5375 3.9265 4.2442 4.4999
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 -30 6.8224 5.7589 5.4415 5.2476 6.785 5.7589 5.4415 5.2476
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 -30 5.8329 5.3806 5.2999 5.2984 5.8141 5.3806 5.2999 5.2984
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 -30 5.3839 5.346 5.4417 5.5451 5.3769 5.346 5.4417 5.5451
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 -30 8.9426 8.2188 7.9728 7.8565 8.9172 8.2188 7.9728 7.8565
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 -30 5.5884 5.8296 6.0404 6.2026 5.5902 5.8296 6.0404 6.2026
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 -30 12.3679 12.0462 11.9874 12.0226 12.3561 12.0462 11.9874 12.0226
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 -30 5.3928 5.0587 5.0028 5.0248 5.3784 5.0587 5.0028 5.0248
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 -30 5.5435 5.8524 6.1366 6.3411 5.5474 5.8524 6.1366 6.3411
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 -30 6.7157 6.8274 6.979 7.0592 6.7144 6.8274 6.979 7.0592
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 -30 6.5603 5.232 4.7784 4.5021 6.516 5.232 4.7784 4.5021
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 -30 4.1871 4.3239 4.5045 4.6723 4.1891 4.3239 4.5045 4.6723
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 -30 4.5264 4.1578 4.0711 4.0581 4.5104 4.1578 4.0711 4.0581
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 -30 3.7287 4.0089 4.2642 4.4601 3.7307 4.0089 4.2642 4.4601
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g18-39_v2.fits stis_ngsl_v2 -30 10.5964 10.2704 10.165 10.1551 10.5841 10.2704 10.165 10.1551
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g12-21_v2.fits stis_ngsl_v2 -30 10.4209 10.0839 10.0124 10.0303 10.408 10.0839 10.0124 10.0303
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd025893_v2.fits stis_ngsl_v2 -30 7.6304 6.9738 6.8027 6.7517 7.6065 6.9738 6.8027 6.7517
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd132345_v2.fits stis_ngsl_v2 -30 6.5503 5.5009 5.1901 4.989 6.5129 5.5009 5.1901 4.989
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd091316_v2.fits stis_ngsl_v2 -30 3.6239 3.9793 4.2635 4.5236 3.6304 3.9793 4.2635 4.5236
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd117880_v2.fits stis_ngsl_v2 -30 9.0007 9.1548 9.3422 9.4498 8.9996 9.1548 9.3422 9.4498
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_cd-621346_v2.fits stis_ngsl_v2 -30 10.1711 9.6404 9.4762 9.3953 10.1516 9.6404 9.4762 9.3953
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_gl109_v2.fits stis_ngsl_v2 -30 11.5159 10.0258 8.8597 8.221 11.4666 10.0258 8.8597 8.221
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd016031_v2.fits stis_ngsl_v2 -30 9.9524 9.6703 9.5826 9.5781 9.9417 9.6703 9.5826 9.5781
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_bd371458_v2.fits stis_ngsl_v2 -30 9.2746 8.8354 8.7105 8.6538 9.2593 8.8354 8.7105 8.6538
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd081797_v2.fits stis_ngsl_v2 -30 2.9277 1.6896 1.2907 1.0404 2.8856 1.6896 1.2907 1.0404
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd067390_v2.fits stis_ngsl_v2 -30 9.6441 9.4912 9.5107 9.5559 9.6345 9.4912 9.5107 9.5559
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd061603_v2.fits stis_ngsl_v2 -30 6.7998 5.429 4.866 4.5351 6.7532 5.429 4.866 4.5351
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd062412_v2.fits stis_ngsl_v2 -30 6.1291 5.3507 5.1204 5.0017 6.1003 5.3507 5.1204 5.0017
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd031219_v2.fits stis_ngsl_v2 -30 8.4234 8.0357 7.9922 8.0182 8.4065 8.0357 7.9922 8.0182
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd002857_v2.fits stis_ngsl_v2 -30 10.2895 10.4046 10.5275 10.5891 10.2867 10.4046 10.5275 10.5891
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd114710_v2.fits stis_ngsl_v2 -30 4.4946 4.0934 4.001 4.0011 4.4782 4.0934 4.001 4.0011
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd198809_v2.fits stis_ngsl_v2 -30 4.9686 4.3218 4.1378 4.067 4.9443 4.3218 4.1378 4.067
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g88-27_v2.fits stis_ngsl_v2 -30 10.8956 10.5837 10.5048 10.5051 10.8839 10.5837 10.5048 10.5051
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd210807_v2.fits stis_ngsl_v2 -30 5.291 4.5571 4.3628 4.2748 5.2638 4.5571 4.3628 4.2748
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd201091_v2.fits stis_ngsl_v2 -30 5.9103 4.7891 4.4081 4.1913 5.8754 4.7891 4.4081 4.1913
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd165341_v2.fits stis_ngsl_v2 -30 4.6465 3.9849 3.8162 3.7604 4.6224 3.9849 3.8162 3.7604
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd131873_v2.fits stis_ngsl_v2 -30 2.9268 1.6319 1.1512 0.8745 2.8831 1.6319 1.1512 0.8745
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_cd-3018140_v2.fits stis_ngsl_v2 -30 10.2067 9.9844 9.9488 9.9636 10.1964 9.9844 9.9488 9.9636
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd184266_v2.fits stis_ngsl_v2 -30 7.8934 7.4403 7.2895 7.2285 7.878 7.4403 7.2895 7.2285
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd057060_v2.fits stis_ngsl_v2 -30 5.0668 5.4062 5.6814 5.9059 5.0735 5.4062 5.6814 5.9059
