survey version standard standard_catagory shift ZTFS-g ZTFS-r ZTFS-i 
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 35 5.082 5.441 5.735
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 35 3.789 2.903 2.645
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 35 8.373 8.184 8.219
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 35 8.105 8.054 8.13
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 35 5.128 4.351 4.127
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 35 5.693 5.909 6.16
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 35 9.235 8.87 8.752
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 35 8.933 8.564 8.465
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 35 7.644 7.441 7.42
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 35 3.36 3.609 3.831
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 35 6.407 5.491 5.2
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 35 9.148 8.616 8.434
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 35 8.543 6.099 3.515
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 35 5.345 4.189 3.764
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 35 6.722 5.991 5.762
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 35 8.27 7.68 7.458
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 35 3.558 3.982 4.326
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 35 6.63 5.669 5.365
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 35 5.737 5.347 5.287
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 35 5.343 5.352 5.473
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 35 8.814 8.149 7.919
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 35 5.592 5.862 6.097
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 35 12.304 12.02 11.98
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 35 5.317 5.031 4.997
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 35 5.558 5.901 6.206
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 35 6.703 6.848 7.016
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 35 6.333 5.11 4.673
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 35 4.19 4.351 4.549
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 35 4.444 4.125 4.054
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 35 3.735 4.051 4.331
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_g18-39_v2.fits stis_ngsl_v2 35 10.53 10.235 10.145
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_g12-21_v2.fits stis_ngsl_v2 35 10.352 10.053 10.003
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd025893_v2.fits stis_ngsl_v2 35 7.509 6.918 6.77
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd132345_v2.fits stis_ngsl_v2 35 6.358 5.412 5.114
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd091316_v2.fits stis_ngsl_v2 35 3.651 4.027 4.339
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd117880_v2.fits stis_ngsl_v2 35 8.991 9.183 9.388
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_cd-621346_v2.fits stis_ngsl_v2 35 10.071 9.59 9.438
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_gl109_v2.fits stis_ngsl_v2 35 11.261 9.821 8.558
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd016031_v2.fits stis_ngsl_v2 35 9.894 9.638 9.566
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_bd371458_v2.fits stis_ngsl_v2 35 9.194 8.794 8.679
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd081797_v2.fits stis_ngsl_v2 35 2.711 1.582 1.194
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd067390_v2.fits stis_ngsl_v2 35 9.591 9.482 9.52
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd061603_v2.fits stis_ngsl_v2 35 6.561 5.292 4.73
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd062412_v2.fits stis_ngsl_v2 35 5.983 5.282 5.068
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd031219_v2.fits stis_ngsl_v2 35 8.337 8.01 7.989
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd002857_v2.fits stis_ngsl_v2 35 10.272 10.422 10.552
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd114710_v2.fits stis_ngsl_v2 35 4.41 4.057 3.987
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd198809_v2.fits stis_ngsl_v2 35 4.845 4.264 4.1
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_g88-27_v2.fits stis_ngsl_v2 35 10.832 10.553 10.489
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd210807_v2.fits stis_ngsl_v2 35 5.153 4.496 4.321
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd201091_v2.fits stis_ngsl_v2 35 5.726 4.692 4.314
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd165341_v2.fits stis_ngsl_v2 35 4.524 3.93 3.782
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd131873_v2.fits stis_ngsl_v2 35 2.703 1.507 1.039
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_cd-3018140_v2.fits stis_ngsl_v2 35 10.15 9.965 9.94
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd184266_v2.fits stis_ngsl_v2 35 7.811 7.394 7.257
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd057060_v2.fits stis_ngsl_v2 35 5.095 5.453 5.747
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd045282_v2.fits stis_ngsl_v2 35 8.275 7.789 7.638
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd176437_v2.fits stis_ngsl_v2 35 3.105 3.392 3.619
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd185144_v2.fits stis_ngsl_v2 35 4.951 4.371 4.209
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd057727_v2.fits stis_ngsl_v2 35 5.343 4.691 4.506
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_g188-30_v2.fits stis_ngsl_v2 35 11.466 11.052 10.923
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_bd+112998_v2.fits stis_ngsl_v2 35 9.309 8.847 8.668
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd204155_v2.fits stis_ngsl_v2 35 8.666 8.313 8.215
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_g029-023_v2.fits stis_ngsl_v2 35 10.385 10.094 10.033
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd122956_v2.fits stis_ngsl_v2 35 7.638 6.851 6.546
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd128279_v2.fits stis_ngsl_v2 35 8.276 7.783 7.594
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd205811_v2.fits stis_ngsl_v2 35 6.057 6.323 6.552
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd217107_v2.fits stis_ngsl_v2 35 6.411 5.926 5.817
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_g194-22_v2.fits stis_ngsl_v2 35 9.923 9.708 9.677
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd039587_v2.fits stis_ngsl_v2 35 4.554 4.189 4.128
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_g24-3_v2.fits stis_ngsl_v2 35 10.617 10.3 10.201
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd163810_v2.fits stis_ngsl_v2 35 10.149 9.781 9.696
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd108945_v2.fits stis_ngsl_v2 35 5.387 5.616 5.877
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd085380_v2.fits stis_ngsl_v2 35 6.598 6.251 6.186
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd002665_v2.fits stis_ngsl_v2 35 8.047 7.441 7.207
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_lhs482_v2.fits stis_ngsl_v2 35 12.723 11.248 10.382
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd065354_v2.fits stis_ngsl_v2 35 7.5 6.193 5.686
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd167006_v2.fits stis_ngsl_v2 35 5.586 4.16 3.184
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd204867_v2.fits stis_ngsl_v2 35 3.162 2.615 2.486
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd222404_v2.fits stis_ngsl_v2 35 3.59 2.835 2.604
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd174240_v2.fits stis_ngsl_v2 35 6.12 6.353 6.563
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd134113_v2.fits stis_ngsl_v2 35 8.446 8.071 7.969
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd105546_v2.fits stis_ngsl_v2 35 8.869 8.379 8.214
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd148293_v2.fits stis_ngsl_v2 35 5.675 4.857 4.606
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd212593_v2.fits stis_ngsl_v2 35 4.486 4.615 4.786
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd005544_v2.fits stis_ngsl_v2 35 8.062 7.216 6.929
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd232078_v2.fits stis_ngsl_v2 35 9.322 7.6 6.857
ZTFS ZTFS spectra/stis_ngsl_v2/h_stis_ngsl_hd196218_v2.fits stis_ngsl_v2 35 7.564 7.283 7.223
