survey version standard standard_catagory shift SNLS-g SNLS-r SNLS-i SNLS-z 
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 5 5.0965 5.4041 5.6825 5.856
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 5 3.7447 2.9354 2.6674 2.5495
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 5 8.3677 8.1785 8.2005 8.2497
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 5 8.1055 8.0431 8.1061 8.1718
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 5 5.0919 4.3767 4.1471 4.0446
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 5 5.7034 5.8785 6.1137 6.2304
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 5 9.2225 8.8814 8.7594 8.6948
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 5 8.9203 8.5736 8.4647 8.4464
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 5 7.6391 7.4409 7.4101 7.4236
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 5 3.3716 3.5794 3.7964 3.871
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 5 6.3616 5.5254 5.2308 5.0828
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 5 9.1275 8.6366 8.4467 8.3756
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 5 8.4883 6.4718 3.834 2.356
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 5 5.2823 4.2421 3.812 3.597
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 5 6.6893 6.0166 5.7833 5.6764
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 5 8.2468 7.7054 7.4767 7.3769
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 5 3.5751 3.9408 4.265 4.4817
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 5 6.5809 5.7034 5.4001 5.2364
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 5 5.7223 5.3527 5.2809 5.2824
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 5 5.3466 5.3375 5.4417 5.5293
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 5 8.7841 8.176 7.9371 7.8427
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 5 5.6052 5.8335 6.0508 6.1867
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 5 12.2949 12.0231 11.9699 12.0096
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 5 5.3083 5.0344 4.9867 5.0084
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 5 5.573 5.8629 6.1533 6.3225
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 5 6.711 6.8263 6.9823 7.0448
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 5 6.2644 5.1639 4.725 4.4933
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 5 4.1981 4.3249 4.5094 4.654
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 5 4.4336 4.1313 4.0504 4.043
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 5 3.7487 4.0174 4.2788 4.4431
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_g18-39_v2.fits stis_ngsl_v2 5 10.5222 10.2429 10.1433 10.1379
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_g12-21_v2.fits stis_ngsl_v2 5 10.3429 10.0584 9.9947 10.0115
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd025893_v2.fits stis_ngsl_v2 5 7.4833 6.9356 6.7757 6.7367
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd132345_v2.fits stis_ngsl_v2 5 6.3096 5.4457 5.1492 4.9779
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd091316_v2.fits stis_ngsl_v2 5 3.6665 3.9896 4.2815 4.5032
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd117880_v2.fits stis_ngsl_v2 5 9.0002 9.1568 9.3496 9.4345
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_cd-621346_v2.fits stis_ngsl_v2 5 10.0527 9.6061 9.4476 9.381
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_gl109_v2.fits stis_ngsl_v2 5 11.1965 9.9559 8.713 8.2141
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd016031_v2.fits stis_ngsl_v2 5 9.8876 9.6443 9.5629 9.561
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_bd371458_v2.fits stis_ngsl_v2 5 9.1801 8.8048 8.6851 8.6387
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd081797_v2.fits stis_ngsl_v2 5 2.6503 1.6264 1.2413 1.0294
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd067390_v2.fits stis_ngsl_v2 5 9.5897 9.476 9.5014 9.5408
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd061603_v2.fits stis_ngsl_v2 5 6.4908 5.3561 4.8007 4.5264
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd062412_v2.fits stis_ngsl_v2 5 5.9521 5.3066 5.0868 4.9887
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd031219_v2.fits stis_ngsl_v2 5 8.3246 8.0113 7.9772 8.0018
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd002857_v2.fits stis_ngsl_v2 5 10.2805 10.402 10.5269 10.5711
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd114710_v2.fits stis_ngsl_v2 5 4.3983 4.0648 3.9815 3.9853
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd198809_v2.fits stis_ngsl_v2 5 4.8212 4.2829 4.1092 4.0524
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_g88-27_v2.fits stis_ngsl_v2 5 10.824 10.558 10.4851 10.4869
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd210807_v2.fits stis_ngsl_v2 5 5.1243 4.5161 4.3335 4.2606
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd201091_v2.fits stis_ngsl_v2 5 5.6682 4.7345 4.3549 4.1798
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd165341_v2.fits stis_ngsl_v2 5 4.4978 3.9471 3.7888 3.7452
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd131873_v2.fits stis_ngsl_v2 5 2.6371 1.564 1.0939 0.8643
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_cd-3018140_v2.fits stis_ngsl_v2 5 10.1457 9.9642 9.9327 9.9447
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd184266_v2.fits stis_ngsl_v2 5 7.7966 7.4082 7.2626 7.2135
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd057060_v2.fits stis_ngsl_v2 5 5.1101 5.4157 5.6956 5.8866
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd045282_v2.fits stis_ngsl_v2 5 8.2564 7.805 7.648 7.5885
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd176437_v2.fits stis_ngsl_v2 5 3.1183 3.3622 3.5811 3.6605
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd185144_v2.fits stis_ngsl_v2 5 4.9265 4.3908 4.2163 4.1678
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd057727_v2.fits stis_ngsl_v2 5 5.3149 4.713 4.5184 4.4445
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_g188-30_v2.fits stis_ngsl_v2 5 11.4512 11.0647 10.9294 10.8753
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_bd+112998_v2.fits stis_ngsl_v2 5 9.2923 8.8665 8.6808 8.6015
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd204155_v2.fits stis_ngsl_v2 5 8.6537 8.3219 8.2153 8.1938
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_g029-023_v2.fits stis_ngsl_v2 5 10.376 10.0983 10.0286 10.0338
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd122956_v2.fits stis_ngsl_v2 5 7.6038 6.8882 6.5757 6.4262
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd128279_v2.fits stis_ngsl_v2 5 8.2581 7.8043 7.6084 7.5328
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd205811_v2.fits stis_ngsl_v2 5 6.0694 6.2947 6.5066 6.6421
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd217107_v2.fits stis_ngsl_v2 5 6.392 5.9377 5.8192 5.7867
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_g194-22_v2.fits stis_ngsl_v2 5 9.9177 9.7091 9.6694 9.6787
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd039587_v2.fits stis_ngsl_v2 5 4.5409 4.1959 4.1213 4.1289
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_g24-3_v2.fits stis_ngsl_v2 5 10.6082 10.3096 10.2007 10.1862
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd163810_v2.fits stis_ngsl_v2 5 10.1361 9.7888 9.695 9.6743
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd108945_v2.fits stis_ngsl_v2 5 5.3976 5.5849 5.8285 5.9661
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd085380_v2.fits stis_ngsl_v2 5 6.5859 6.2577 6.1797 6.1879
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd002665_v2.fits stis_ngsl_v2 5 8.0238 7.4672 7.2268 7.1214
