survey version standard standard_catagory shift ZTF-g ZTF-r ZTF-i ZTF-G ZTF-R ZTF-I 
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 -10 5.0731 5.43 5.7274 5.0678 5.4339 5.7279
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 -10 3.8387 2.915 2.6515 3.8678 2.9103 2.6511
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 -10 8.3861 8.1845 8.2174 8.3939 8.1845 8.2175
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 -10 8.1141 8.0524 8.1274 8.1192 8.0531 8.1276
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 -10 5.1706 4.3615 4.1323 5.1955 4.3575 4.1319
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 -10 5.6919 5.9006 6.1533 5.6904 5.9039 6.1538
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 -10 9.2516 8.8754 8.7544 9.2619 8.8733 8.7542
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 -10 8.9523 8.569 8.4662 8.9646 8.5672 8.4661
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 -10 7.6577 7.4429 7.4195 7.6656 7.4422 7.4196
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 -10 3.3548 3.6007 3.8267 3.3515 3.6035 3.8271
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 -10 6.4578 5.5045 5.207 6.4865 5.4996 5.2065
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 -10 9.175 8.6244 8.4381 9.1918 8.6213 8.4378
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 -10 8.5925 6.1524 3.5822 8.6224 6.1233 3.5785
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 -10 5.4032 4.2069 3.7745 5.436 4.2001 3.7738
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 -10 6.7633 6.0011 5.7677 6.7877 5.9972 5.7673
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 -10 8.2984 7.6895 7.4629 8.3161 7.6857 7.4626
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 -10 3.5471 3.9702 4.3165 3.5402 3.9746 4.3172
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 -10 6.6834 5.6821 5.3734 6.7129 5.6771 5.3729
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 -10 5.7598 5.3509 5.2874 5.7739 5.3494 5.2873
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 -10 5.3501 5.3494 5.4687 5.3533 5.3507 5.469
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 -10 8.8466 8.1592 7.9235 8.8665 8.1553 7.9232
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 -10 5.5872 5.8536 6.0904 5.5835 5.8567 6.0908
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 -10 12.3186 12.0231 11.9792 12.3272 12.0219 11.9792
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 -10 5.3343 5.0343 4.9964 5.3446 5.0332 4.9964
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 -10 5.5505 5.8906 6.1985 5.5456 5.8943 6.1991
ZTF ZTF spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 -10 6.7029 6.842 7.0117 6.7021 6.8442 7.0121
